"Apellido","Nombre","Distrito","IniciaMandato","FinalizaMandato","Bloque","Leyenda"
"Acevedo","Sergio Edgardo","SANTA CRUZ","07/12/2023","09/12/2025","POR SANTA CRUZ",
"Agost Carreño","Oscar","CORDOBA","23/08/2023","09/12/2025","HACEMOS COALICIÓN FEDERAL",
"Aguirre","Hilda","LA RIOJA","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Aguirre","Manuel Ignacio","CORRIENTES","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Ajmechet","Sabrina","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","PRO",
"Alí","Ernesto "Pipi"","SAN LUIS","31/01/2024","09/12/2027","UNIÓN POR LA PATRIA",
"Alianiello","Eugenia","CHUBUT","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Allende","Walberto","SAN JUAN","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Almirón","Lisandro","CORRIENTES","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Alonso","Constanza María","BUENOS AIRES","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Ansaloni","Pablo","BUENOS AIRES","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Antola","Marcela","ENTRE RIOS","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Arabia","Damián","CIUDAD DE BUENOS AIRES","10/12/2023","09/12/2027","PRO",
"Arancibia Rodríguez","Alberto Gustavo","SAN LUIS","02/11/2023","09/12/2025","LA LIBERTAD AVANZA",
"Araujo","María Fernanda","CIUDAD DE BUENOS AIRES","07/12/2023","09/12/2025","LA LIBERTAD AVANZA",
"Araujo Hernández","Jorge Neri","TIERRA DEL FUEGO","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Ardohain","Martín","LA PAMPA","10/12/2023","09/12/2027","PRO",
"Arjol","Martín","MISIONES","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Arrieta","Lourdes Micaela","MENDOZA","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Arroyo","Daniel","BUENOS AIRES","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Arrúa","Alberto","MISIONES","10/12/2023","09/12/2027","INNOVACIÓN FEDERAL",
"Aubone","Ana Fabiola","SAN JUAN","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Aveiro","Martín","MENDOZA","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Avico","Belén","CORDOBA","10/12/2023","09/12/2027","PRO",
"Avila","Fernanda","CATAMARCA","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Avila","Jorge Antonio","CHUBUT","10/12/2023","09/12/2027","HACEMOS COALICIÓN FEDERAL",
"Bachey","Karina Ethel","SAN LUIS","10/12/2021","09/12/2025","PRO",
"Baldassi","Héctor W.","CORDOBA","10/12/2021","09/12/2025","PRO",
"Banfi","Karina","BUENOS AIRES","10/12/2023","09/12/2027","UCR - UNIÓN CÍVICA RADICAL",
"Barletta","Mario","SANTA FE","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Basterra","Luis Eugenio","FORMOSA","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Benedetti","Atilio","ENTRE RIOS","05/07/2023","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Benedit","Beltrán","ENTRE RIOS","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Benegas Lynch","Bertie","BUENOS AIRES","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Bermejo","Adolfo","MENDOZA","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Bertoldi","Tanya","NEUQUEN","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Besana","Gabriela","BUENOS AIRES","10/12/2021","09/12/2025","PRO",
"Bianchetti","Emmanuel","MISIONES","10/12/2023","09/12/2027","PRO",
"Bonacci","Rocío","SANTA FE","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Bongiovanni","Alejandro","SANTA FE","10/12/2023","09/12/2027","PRO",
"Bordet","Gustavo","ENTRE RIOS","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Bornoroni","Gabriel","CORDOBA","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Borrego","Victoria","BUENOS AIRES","10/12/2021","09/12/2025","HACEMOS COALICIÓN FEDERAL",
"Brambilla","Sofía","CORRIENTES","10/12/2021","09/12/2025","PRO",
"Bregman","Myriam","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD",
"Brouwer De Koning","Gabriela","CORDOBA","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Brügge","Juan Fernando","CORDOBA","10/12/2023","09/12/2027","HACEMOS COALICIÓN FEDERAL",
"Cafiero","Santiago","BUENOS AIRES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Calletti","Pamela","SALTA","10/12/2021","09/12/2025","INNOVACIÓN FEDERAL",
"Campagnoli","Marcela","BUENOS AIRES","10/12/2021","09/12/2025","HACEMOS COALICIÓN FEDERAL",
"Campero","Mariano","TUCUMAN","10/12/2023","09/12/2027","UCR - UNIÓN CÍVICA RADICAL",
"Campitelli","Celia","SANTIAGO DEL ESTERO","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Capozzi","Sergio Eduardo","RIO NEGRO","10/12/2023","09/12/2027","PRO",
"Carbajal","Fernando","FORMOSA","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Carignano","Florencia","SANTA FE","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Carrizo","Ana Carla","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Carrizo","Soledad","CORDOBA","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Carro","Pablo","CORDOBA","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Casas","Sergio Guillermo","LA RIOJA","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Castagneto","Carlos Daniel","BUENOS AIRES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Castillo","Christian","BUENOS AIRES","10/12/2023","09/12/2027","FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD",
"Cervi","Pablo","NEUQUEN","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Chaher","Leila","JUJUY","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Chica","Jorge","SAN JUAN","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Chomiak","María Luisa","CHACO","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Chumpitaz","Gabriel Felipe","SANTA FE","10/12/2021","09/12/2025","PRO",
"Cipolini","Gerardo","CHACO","10/12/2023","09/12/2027","UCR - UNIÓN CÍVICA RADICAL",
"Cisneros","Carlos","TUCUMAN","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Cobos","Julio","MENDOZA","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Coletta","Mariela","CIUDAD DE BUENOS AIRES","10/12/2023","09/12/2027","UCR - UNIÓN CÍVICA RADICAL",
"Coli","Marcela","LA PAMPA","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"Correa Llano","Facundo","MENDOZA","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"D'alessandro","Carlos","SAN LUIS","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Daives","Ricardo","SANTIAGO DEL ESTERO","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"de la Sota","Natalia","CORDOBA","10/12/2021","09/12/2025","HACEMOS COALICIÓN FEDERAL",
"de Loredo","Rodrigo","CORDOBA","10/12/2021","09/12/2025","UCR - UNIÓN CÍVICA RADICAL",
"De Sensi","María Florencia","BUENOS AIRES","10/12/2023","09/12/2025","PRO",
"Del Caño","Nicolás","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD",
"Del Plá","Romina","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD",
"Diez","Romina","SANTA FE","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Domingo","Agustín","RIO NEGRO","10/12/2021","09/12/2025","INNOVACIÓN FEDERAL",
"Emma","Nicolás","CIUDAD DE BUENOS AIRES","07/12/2023","09/12/2025","LA LIBERTAD AVANZA",
"Espert","José Luis","BUENOS AIRES","10/12/2021","09/12/2025","AVANZA LIBERTAD",
"Estévez","Gabriela","CORDOBA","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Estrada","Emiliano","SALTA","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Falcone","Eduardo","BUENOS AIRES","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Fein","Mónica","SANTA FE","10/12/2021","09/12/2025","HACEMOS COALICIÓN FEDERAL",
"Fernández","Agustin","TUCUMAN","10/12/2021","09/12/2025","INDEPENDENCIA",
"Fernández","Elia Marina","TUCUMAN","02/11/2023","09/12/2025","INDEPENDENCIA",
"Fernández","Carlos Alberto","MISIONES","16/12/2021","09/12/2025","INNOVACIÓN FEDERAL",
"Fernández Molero","Daiana","CIUDAD DE BUENOS AIRES","10/12/2023","09/12/2027","PRO",
"Fernández Patri","Ramiro","FORMOSA","10/12/2021","09/12/2025","UNIÓN POR LA PATRIA",
"Ferraro","Maximiliano","CIUDAD DE BUENOS AIRES","10/12/2023","09/12/2027","HACEMOS COALICIÓN FEDERAL",
"Ferreyra","Alida","CIUDAD DE BUENOS AIRES","31/01/2024","09/12/2027","LA LIBERTAD AVANZA",
"Figueroa Casas","Germana","SANTA FE","10/12/2021","09/12/2025","PRO",
"Finocchiaro","Alejandro","BUENOS AIRES","10/12/2021","09/12/2025","PRO",
"Frade","Mónica","BUENOS AIRES","10/12/2023","09/12/2027","HACEMOS COALICIÓN FEDERAL",
